address,latitude,longitude,sidebarheader,sidebarheader2,sidebarimage,description,description2,icon_url,iconwidth,iconheight,icon2_url,icon2width,icon2height,icon3_url,icon3width,icon3height,category,category2,category3,category4,starts,ends,cost,tags,favorite,GeoJSON
Istanbul Turkey,41.0082,28.9784,Istanbul Turkey,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Buenos Aires ARG,-34.6037,-58.3816,Buenos Aires ARG,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico City MEX,19.4326,-99.1332,Mexico City MEX,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona ESP,41.3851,2.1734,Barcelona ESP,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
New York USA,40.7128,-74.006,New York USA,,https://github.com/mapabuena/BA/blob/main/nycskyline.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles CA,34.0522,-118.2437,Los Angeles CA,,https://github.com/mapabuena/BA/blob/main/LaBombadeTiempo.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal CA,45.5017,-73.5673,Montreal CA,,https://github.com/mapabuena/BA/blob/main/SanTelmo.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisbon Portugal,38.7223,-9.1393,Lisbon Portugal,,https://github.com/mapabuena/BA/blob/main/Artemesia.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
London UK,51.5074,-0.1278,London UK,,https://github.com/mapabuena/BA/blob/main/ManawaCoworking.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Dubai UAE,25.2048,55.2708,Dubai UAE,,https://github.com/mapabuena/BA/blob/main/SelinaCowork.jpg?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris FRA,48.8566,2.3522,Paris FRA,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancun MEX,21.1619,-86.8515,Cancun MEX,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangkok THA,13.7563,100.5018,Bangkok THA,,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,,,,,,,,,,,,,
