Name,Latitude,Longitude,popup_header,popupimage_url,Description,icon_url,category,Category2,Category3,complex,starts,ends
Jose Antonio Cabrera 5225 C1414 CABA,-34.5877417164857,-58.4343831593624,CERVECERIA 1516,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,,
Jose A. Cabrera 4427 C1414 CABA,-34.5938957,-58.4264211,BAUM BAR,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,wed,,social,2024-05-08 21:00:00|2024-05-15 21:00:00|2024-05-22 21:00:00|2024-05-29 21:00:00,2024-05-09 03:00:00|2024-05-16 03:00:00|2024-05-23 03:00:00|2024-05-30 03:00:00
Honduras 5903 C1414 CABA,-34.5814675056748,-58.4394427728738,TROVA WINE BAR,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,2024-05-09 21:00:00|2024-05-16 21:00:00|2024-05-23 21:00:00|2024-05-30 21:00:00,2024-05-10 03:00:00|2024-05-17 03:00:00|2024-05-24 03:00:00|2024-05-31 03:00:00
Costa Rica 4863 C1425 CABA,-34.5861546698312,-58.4287502668498,ALWAYS GYM COSTA RICA,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group4,mon|tue|wed|thu|fri|sat,,gym,,
Costa Rica 4901 C1414 CABA,-34.5863888236655,-58.4291628765822,Costa Rica 4901,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,,
Sarmiento 3131 CABA ,-34.6062703953183,-58.4104349203808,LA BOMBA DE TIEMPO ,https://github.com/mapabuena/BA/blob/main/LaBombadeTiempo.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group1,mon,,event,,
Defensa 1086 C1065AAT CABA,-34.6202230838669,-58.3713141278796,SAN TELMO,https://github.com/mapabuena/BA/blob/main/SanTelmo.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group3,sun,,market,,
Costa Rica 5893 Esquina Dr. Emilio Ravignani C1414 Buenos Aires,-34.5798914257316,-58.4374951016108,ARTEMISIA,https://github.com/mapabuena/BA/blob/main/Artemesia.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group6,mon|tue|wed|thu|fri|sat,,healthy,,
Nicaragua 4817 Primer Piso C1414 CABA,-34.5858188280275,-58.4269851976784,MANAWA,https://github.com/mapabuena/BA/blob/main/ManawaCoworking.png?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group5,mon|tue|wed|thu|fri|sat,,coworking,,
Thames 1919 C1414DDM CABA,-34.5852778857312,-58.4276294241107,SELINA ,https://github.com/mapabuena/BA/blob/main/SelinaCowork.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group5,mon|tue|wed|thu|fri|sat,,coworking,,
,,,,,,,,,,,,
"Istanbul, Turkey",41.0082,28.9784,"Istanbul, Turkey",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Buenos Aires, ARG",-34.6037,-58.3816,"Buenos Aires, ARG",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Mexico City, MEX",19.4326,-99.1332,"Mexico City, MEX",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Barcelona, ESP",41.3851,2.1734,"Barcelona, ESP",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"New York, USA",40.7128,-74.006,"New York, USA",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Los Angeles, CA",34.0522,-118.2437,"Los Angeles, CA",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Montreal, CA",45.5017,-73.5673,"Montreal, CA",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
"Lisbon, Portugal",38.7223,-9.1393,"Lisbon, Portugal",,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
