,Latitude,Longitude,popup_header,popupimage_url,Description,icon_url,category,Category2,Category3,complex,starts,ends
"Statue of Liberty, New York, NY 10004",40.689247,-74.044502,STATUE OF LIBERTY,https://github.com/mapabuena/BA/blob/main/statue-of-liberty.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,,
"Empire State Building, 20 W 34th St, New York, NY 10118",40.748817,-73.985428,EMPIRE STATE BUILDING,https://github.com/mapabuena/BA/blob/main/empirestatebuilding.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,wed,,social,2024-05-08 21:00:00|2024-05-15 21:00:00|2024-05-22 21:00:00|2024-05-29 21:00:00,2024-05-09 03:00:00|2024-05-16 03:00:00|2024-05-23 03:00:00|2024-05-30 03:00:00
"Central Park, New York, NY",40.785091,-73.968285,CENTRAL PARK,https://github.com/mapabuena/BA/blob/main/CentralParkNY.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,2024-05-09 21:00:00|2024-05-16 21:00:00|2024-05-23 21:00:00|2024-05-30 21:00:00,2024-05-10 03:00:00|2024-05-17 03:00:00|2024-05-24 03:00:00|2024-05-31 03:00:00
"Times Square, Manhattan, NY 10036",40.758896,-73.98513,TIMES SQUARE,https://github.com/mapabuena/BA/blob/main/timesquare.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group4,mon|tue|wed|thu|fri|sat,,gym,,
"Brooklyn Bridge, New York, NY 10038",40.706086,-73.996864,BROOKLYN BRIDGE,https://github.com/mapabuena/BA/blob/main/brooklynbridge.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group2,thu,,social,,
"One World Trade Center, 285 Fulton St, New York, NY 10007",40.712743,-74.013379,ONE WORLD TRADE CENTER,https://github.com/mapabuena/BA/blob/main/one-world-trade-center.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group1,mon,,event,,
"Metropolitan Museum of Art, 1000 5th Ave, New York, NY 10028",40.779437,-73.963244,METROPOLITAN MUSEUM OF ART,https://github.com/mapabuena/BA/blob/main/metropolitanmuseumofart.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group3,sun,,market,,
"Broadway, New York, NY",40.759011,-73.984472,BROADWAY,https://github.com/mapabuena/BA/blob/main/broadway.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group6,mon|tue|wed|thu|fri|sat,,healthy,,
"Rockefeller Center, 45 Rockefeller Plaza, New York, NY 10111",40.75874,-73.978674,ROCKEFELLER CENTER,https://github.com/mapabuena/BA/blob/main/rockefeller-center.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group5,mon|tue|wed|thu|fri|sat,,coworking,,
"Grand Central Terminal, 89 E 42nd St, New York, NY 10017",40.752726,-73.977229,GRAND CENTRAL TERMINAL,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,group5,mon|tue|wed|thu|fri|sat,,coworking,,
Istanbul Turkey,41.0082,28.9784,Istanbul Turkey,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Buenos Aires ARG,-34.6037,-58.3816,Buenos Aires ARG,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Mexico City MEX,19.4326,-99.1332,Mexico City MEX,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Barcelona ESP,41.3851,2.1734,Barcelona ESP,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
New York USA,40.7128,-74.006,New York USA,https://github.com/mapabuena/BA/blob/main/nycskyline.jpg?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Los Angeles CA,34.0522,-118.2437,Los Angeles CA,https://github.com/mapabuena/BA/blob/main/LaBombadeTiempo.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Montreal CA,45.5017,-73.5673,Montreal CA,https://github.com/mapabuena/BA/blob/main/SanTelmo.jpg?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Lisbon Portugal,38.7223,-9.1393,Lisbon Portugal,https://github.com/mapabuena/BA/blob/main/Artemesia.jpg?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
London UK,51.5074,-0.1278,London UK,https://github.com/mapabuena/BA/blob/main/ManawaCoworking.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Dubai UAE,25.2048,55.2708,Dubai UAE,https://github.com/mapabuena/BA/blob/main/SelinaCowork.jpg?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Paris FRA,48.8566,2.3522,Paris FRA,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Cancun MEX,21.1619,-86.8515,Cancun MEX,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
Bangkok THA,13.7563,100.5018,Bangkok THA,https://github.com/mapabuena/BA/blob/main/Screenshot%202024-02-07%20164155.png?raw=true,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,city,,,,,
