address,latitude,longitude,sidebarheader,sidebarheader2,sidebarimage,description,description2,icon_url,iconwidth,iconheight,icon2_url,icon2width,icon2height,icon3_url,icon3width,icon3height,category,category2,category3,category4,dateRanges,recurring_schedule,cost,tags,favorite,GeoJSON,
"Statue of Liberty, New York, NY 10004",40.689247,-74.044502,Statue of Liberty,Monument tourist attraction,https://github.com/mapabuena/BA/blob/main/statue-of-liberty.jpg?raw=true,"“The Statue of Liberty (Liberty Enlightening the World; French: La Liberté éclairant le monde) is a colossal neoclassical sculpture on Liberty Island in New York Harbor, within New York City. The copper statue, a gift to the U.S. from the people of France, was designed by French sculptor Frédéric Auguste Bartholdi and its metal framework was built by Gustave Eiffel. The statue was dedicated on October 28, 1886.”",,https://raw.githubusercontent.com/mapabuena/BA/main/statueofliberty.svg,40,150,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,"""[{\""day\"": \""Wednesday\"", \""start_time\"": \""10:00\"", \""end_time\"": \""17:00\""}, {\""day\"": \""Thursday\"", \""start_time\"": \""11:00\"", \""end_time\"": \""16:00\""}, {\""day\"": \""Friday\"", \""start_time\"": \""09:00\"", \""end_time\"": \""18:00\""}]""
",,,,,
"Empire State Building, 20 W 34th St, New York, NY 10118",40.748817,-73.985428,Empire State Building,Skyscraper with views of the skyline,https://github.com/mapabuena/BA/blob/main/empirestatebuilding.jpg?raw=true,"“The Empire State Building is a 102-story Art Deco skyscraper in the Midtown South neighborhood of Manhattan in New York City. The building was designed by Shreve, Lamb & Harmon and built from 1930 to 1931. Its name is derived from ""Empire State"", the nickname of the state of New York. “",,https://raw.githubusercontent.com/mapabuena/BA/main/empirestatebuilding.svg,36,110,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,2024-05-08 21:00:00|2024-05-15 21:00:00|2024-05-22 21:00:00|2024-05-29 21:00:00,,,,,,
"Central Park, New York, NY",40.785091,-73.968285,Central Park,NYC’s largest park,https://github.com/mapabuena/BA/blob/main/CentralParkNY.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,2024-05-09 21:00:00|2024-05-16 21:00:00|2024-05-23 21:00:00|2024-05-30 21:00:00,,,,,,
"Times Square, Manhattan, NY 10036",40.758896,-73.98513,Times Square,,https://github.com/mapabuena/BA/blob/main/timesquare.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"Brooklyn Bridge, New York, NY 10038",40.706086,-73.996864,Brooklyn Bridge,Walkable bridge from Brooklyn to downtown manhattan,https://github.com/mapabuena/BA/blob/main/brooklynbridge.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"One World Trade Center, 285 Fulton St, New York, NY 10007",40.712743,-74.013379,One World Trade Center,Office building and 911 memorial and museum ,https://github.com/mapabuena/BA/blob/main/oneworldtradecenter.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"Metropolitan Museum of Art, 1000 5th Ave, New York, NY 10028",40.779437,-73.963244,Metropolitan Museum of Art,,https://github.com/mapabuena/BA/blob/main/metropolitanmuseumofart.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"Broadway, New York, NY",40.759011,-73.984472,Broadway,,https://github.com/mapabuena/BA/blob/main/broadway.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"Rockefeller Center, 45 Rockefeller Plaza, New York, NY 10111",40.75874,-73.978674,Rockefeller Center,,https://github.com/mapabuena/BA/blob/main/rockefeller-center.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"Grand Central Terminal, 89 E 42nd St, New York, NY 10017",40.752726,-73.977229,Grand Central Terminal,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIcon.svg,20,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,tourism,landmark,,,,,,,,,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Mariners,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-05-21 17:05:00:2024-05-21 20:05:00,,$25.00,,,,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Mariners,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-05-22 17:05:00:2024-05-22 20:05:00,,$21.00,,,,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Mariners,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-05-23 12:35:00:2024-05-23 15:35:00,,$24.00,,,,
